开放粤语字典（教院拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［简体字］	［繁体字］	［教院拼音］

丫	丫	aa1
呀	呀	aa1
啊	啊	aa1
锕	錒	aa1
吖	吖	aa1
鸦	鴉	aa1
啊	啊	aa2
哑	啞	aa2
亚	亞	aa3
啊	啊	aa3
氩	氬	aa3
娅	婭	aa3
阿	阿	aa3
挨	挨	aai1
隘	隘	aai3
轭	軛	aak7
俺	俺	aan2
晏	晏	aan3
罂	罌	aang1
鸭	鴨	aap8
压	壓	aat8
押	押	aat8
遏	遏	aat8
揠	揠	aat8
猰	猰	aat8
轧	軋	aat8
拗	拗	aau3
坳	坳	aau3/aau1
哎	哎	ai1
唉	唉	ai1
矮	矮	ai2
缢	縊	ai3
唉	唉	ai3
屃	屭	ai3
厄	厄	ak7/aak7
扼	扼	ak7/aak7
幄	幄	ak7/aak7
握	握	ak7/aak7
龌	齷	ak7/aak7
渥	渥	ak7/aak7
鹌	鵪	am1
庵	庵	am1
谙	諳	am1
黯	黯	am2
揞	揞	am2
暗	暗	am3
莺	鶯	ang1
罂	罌	ang1
欧	歐	au1
鸥	鷗	au1
瓯	甌	au1
呕	嘔	au2
殴	毆	au2/au1
怄	慪	au3
凹	凹	au3/nap7
粑	粑	baa1
疤	疤	baa1
叭	叭	baa1
巴	巴	baa1
笆	笆	baa1
爸	爸	baa1
葩	葩	baa1
芭	芭	baa1
钯	鈀	baa2
靶	靶	baa2
把	把	baa2
坝	壩	baa3
霸	霸	baa3
吧	吧	baa6
罢	罷	baa6
掰	掰	baai1/maak8
摆	擺	baai2
摆	襬	baai2
捭	捭	baai2
拜	拜	baai3
败	敗	baai6
稗	稗	baai6
迫	迫	baak7/bik7
伯	伯	baak8
佰	佰	baak8
百	百	baak8
匐	匐	baak9
帛	帛	baak9
白	白	baak9
卜	蔔	baak9
颁	頒	baan1
班	班	baan1
瘢	瘢	baan1
斑	斑	baan1
坂	坂	baan2
舨	舨	baan2
板	板	baan2
板	闆	baan2
版	版	baan2
扮	扮	baan3
扮	扮	baan6
办	辦	baan6
绷	繃	baang6
蹦	蹦	baang6
八	八	baat8
捌	捌	baat8
茇	茇	baat9
褒	褒	baau1
包	包	baau1
鲍	鮑	baau1
